                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.1656,                0.74876,                0.89035,                0.56785,                0.42407,                 0.4505,                0.27563,                 1.2146,                0.86194,                 0.9032,              0.0038248,              0.0038248,              0.0038248
                     66,                 1.1642,                0.74448,                0.88938,                0.56123,                 0.4197,                 0.4481,                 0.2731,                 1.2187,                0.86865,                0.90364,              0.0037267,              0.0037267,              0.0037267
                     67,                 1.1549,                0.73681,                0.88702,                0.54717,                 0.4339,                0.44998,                  0.275,                 1.2135,                0.86578,                0.90216,              0.0036287,              0.0036287,              0.0036287
                     68,                 1.1537,                0.73566,                 0.8877,                0.54981,                0.43108,                0.44991,                0.27444,                 1.2139,                0.86647,                0.90301,              0.0035307,              0.0035307,              0.0035307
                     69,                 1.1556,                0.73561,                 0.8877,                0.56038,                0.42697,                0.44982,                0.27424,                 1.2147,                0.86311,                0.90274,              0.0034327,              0.0034327,              0.0034327
                     70,                 1.1512,                0.73073,                0.88688,                0.54913,                0.43472,                0.44904,                0.27313,                 1.2151,                0.86758,                0.90332,              0.0033347,              0.0033347,              0.0033347
                     71,                 1.1461,                0.72391,                0.88701,                0.56004,                0.43013,                0.45031,                0.27535,                 1.2126,                0.86341,                 0.9024,              0.0032366,              0.0032366,              0.0032366
                     72,                 1.1558,                0.72931,                0.88584,                0.54938,                 0.4322,                0.44953,                 0.2752,                 1.2119,                0.86361,                0.90253,              0.0031386,              0.0031386,              0.0031386
                     73,                 1.1552,                0.72499,                 0.8851,                0.55277,                0.43492,                0.45358,                0.27714,                 1.2124,                0.86335,                0.90233,              0.0030406,              0.0030406,              0.0030406
                     74,                 1.1452,                0.72204,                0.88475,                 0.5484,                0.43354,                  0.449,                0.27314,                 1.2141,                0.86782,                0.90213,              0.0029426,              0.0029426,              0.0029426
                     75,                 1.1363,                0.71474,                0.88387,                0.55796,                0.42937,                0.45204,                0.27636,                  1.212,                0.86312,                0.90197,              0.0028446,              0.0028446,              0.0028446
                     76,                 1.1463,                0.71695,                 0.8847,                0.55079,                0.43181,                0.45159,                0.27585,                 1.2101,                0.86435,                0.90186,              0.0027465,              0.0027465,              0.0027465
                     77,                  1.142,                0.71446,                0.88281,                0.57645,                 0.4225,                 0.4519,                0.27606,                 1.2101,                0.86304,                0.90188,              0.0026485,              0.0026485,              0.0026485
                     78,                  1.142,                0.71159,                 0.8827,                0.57179,                0.42557,                0.45267,                0.27633,                 1.2148,                0.86424,                 0.9025,              0.0025505,              0.0025505,              0.0025505
                     79,                 1.1369,                0.70635,                0.88212,                0.55296,                0.43645,                0.45348,                0.27616,                  1.216,                0.86367,                0.90263,              0.0024525,              0.0024525,              0.0024525
