                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0403,                0.59811,                0.87528,                0.58444,                0.46437,                0.48375,                0.29903,                 1.1597,                0.81563,                0.90451,              0.0029426,              0.0029426,              0.0029426
                     75,                 1.0321,                0.59062,                  0.874,                0.58339,                0.46933,                0.48567,                 0.2999,                 1.1611,                0.81551,                0.90467,              0.0028446,              0.0028446,              0.0028446
                     76,                   1.04,                0.59414,                0.87401,                0.58036,                0.47027,                0.48754,                0.30134,                   1.16,                0.81385,                0.90436,              0.0027465,              0.0027465,              0.0027465
                     77,                 1.0341,                0.59038,                0.87195,                0.56849,                0.47334,                0.48518,                0.30023,                 1.1611,                0.81747,                0.90514,              0.0026485,              0.0026485,              0.0026485
                     78,                 1.0347,                0.58756,                0.87164,                0.58281,                0.46589,                0.48346,                0.29914,                 1.1654,                0.81714,                0.90577,              0.0025505,              0.0025505,              0.0025505
                     79,                 1.0291,                0.58203,                 0.8715,                0.58939,                0.46636,                0.48358,                0.29849,                 1.1632,                0.81982,                0.90615,              0.0024525,              0.0024525,              0.0024525
                     80,                  1.023,                0.57889,                0.87057,                 0.5831,                0.46446,                0.48319,                0.29911,                  1.163,                0.81679,                0.90602,              0.0023545,              0.0023545,              0.0023545
                     81,                 1.0214,                0.57617,                0.87004,                0.58747,                0.46319,                0.48384,                0.29963,                 1.1626,                0.81834,                0.90573,              0.0022564,              0.0022564,              0.0022564
                     82,                 1.0196,                0.57323,                 0.8705,                 0.5839,                0.46413,                0.48273,                0.29886,                 1.1651,                0.82221,                0.90663,              0.0021584,              0.0021584,              0.0021584
                     83,                 1.0133,                0.56966,                0.86868,                0.58375,                0.46733,                0.48383,                0.29885,                 1.1639,                0.82648,                0.90651,              0.0020604,              0.0020604,              0.0020604
                     84,                 1.0115,                0.56632,                0.86679,                0.57524,                0.46604,                0.48142,                0.29678,                 1.1643,                 0.8265,                0.90578,              0.0019624,              0.0019624,              0.0019624
                     85,                 1.0113,                0.56641,                 0.8659,                0.57351,                0.46986,                0.48325,                0.29839,                 1.1636,                0.82458,                 0.9059,              0.0018644,              0.0018644,              0.0018644
                     86,                 1.0091,                0.56416,                0.86622,                0.57438,                0.46995,                0.48377,                0.29988,                 1.1651,                0.82364,                0.90598,              0.0017663,              0.0017663,              0.0017663
                     87,                 1.0046,                0.55901,                0.86636,                0.57973,                0.46719,                0.48252,                0.29912,                 1.1641,                 0.8235,                 0.9052,              0.0016683,              0.0016683,              0.0016683
                     88,                 1.0023,                0.55641,                0.86586,                0.57507,                0.47033,                0.48169,                0.29752,                 1.1642,                0.82638,                 0.9054,              0.0015703,              0.0015703,              0.0015703
                     89,                0.99823,                0.55453,                0.86493,                0.57512,                0.46807,                0.48191,                0.29753,                 1.1647,                0.83011,                 0.9058,              0.0014723,              0.0014723,              0.0014723
                     90,                0.99683,                0.55157,                0.86368,                0.58029,                0.46502,                0.48118,                0.29708,                  1.165,                0.82955,                0.90628,              0.0013743,              0.0013743,              0.0013743
                     91,                0.99537,                0.54946,                0.86532,                0.57121,                 0.4679,                0.48147,                0.29693,                 1.1666,                0.82815,                0.90707,              0.0012762,              0.0012762,              0.0012762
                     92,                0.99767,                0.53926,                0.86791,                0.57599,                0.46947,                0.48025,                0.29619,                 1.1672,                 0.8306,                0.90748,              0.0011782,              0.0011782,              0.0011782
                     93,                0.98186,                0.52633,                0.86418,                0.57561,                 0.4692,                0.47959,                0.29593,                 1.1677,                0.83382,                0.90794,              0.0010802,              0.0010802,              0.0010802
                     94,                 0.9752,                0.52162,                0.86392,                0.58668,                0.45839,                0.47802,                0.29396,                 1.1684,                0.83519,                 0.9081,             0.00098218,             0.00098218,             0.00098218
                     95,                0.97297,                0.51915,                0.86313,                0.58769,                 0.4603,                0.47756,                0.29388,                 1.1704,                0.83511,                0.90876,             0.00088416,             0.00088416,             0.00088416
                     96,                0.96901,                0.51469,                0.86287,                0.58283,                   0.46,                0.47695,                0.29339,                 1.1713,                0.83713,                0.90899,             0.00078614,             0.00078614,             0.00078614
                     97,                0.96456,                0.51153,                0.86123,                0.57718,                0.46252,                0.47486,                0.29194,                 1.1729,                0.83918,                0.90913,             0.00068812,             0.00068812,             0.00068812
                     98,                0.96484,                0.51081,                0.86099,                0.58194,                0.45993,                 0.4746,                0.29128,                 1.1729,                 0.8413,                  0.909,              0.0005901,              0.0005901,              0.0005901
                     99,                0.95635,                0.50547,                0.85925,                0.57535,                0.46288,                0.47526,                0.29179,                 1.1737,                0.84338,                0.90919,             0.00049208,             0.00049208,             0.00049208
                    100,                0.95623,                0.50116,                0.86066,                 0.5775,                0.45904,                0.47502,                0.29214,                 1.1737,                0.84264,                0.90921,             0.00039406,             0.00039406,             0.00039406
                    101,                0.95686,                0.50249,                0.85863,                0.57362,                0.46112,                0.47518,                  0.292,                 1.1739,                0.84297,                0.90945,             0.00029604,             0.00029604,             0.00029604
